,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
10,SA109.1,18,P14-P18,S1BF,SSTCre,SST,4,-70.40551613838333,107.14459117786677,2.9278678825947515,209.8893280632413,-37.994384765625,57.92236328125,0.0009000000000001229,8.575439453125,110.0,2.3901960784313725,2.70294189453125
11,SA109.2,18,P14-P18,S1BF,SSTCre,SST,4,-67.27014323677963,110.03024503383895,0.6816273117497984,104.8461538461539,-45.379638671875,77.728271484375,0.0007500000000000284,8.270263671875,116.0,1.9619047619047618,5.893218994140625
12,SA109.3,18,P14-P18,S1BF,SSTCre,SST,5,-64.70364028528618,338.76297454932046,1.5691866312590725,10.0,-43.212890625,46.173095703125,0.0014000000000000679,9.521484375,76.0,1.1793478260869565,12.7666015625
13,SA109.4,18,P14-P18,S1BF,SSTCre,SST,4,-65.70296421850145,153.6207031325496,1.179790587484916,67.66666666666661,-40.740966796875,58.441162109375,0.0009500000000000064,10.80322265625,92.0,1.312242090784044,9.9713134765625
14,SA111.1,6,P5-P8,S1BF,Pyramidal,Pyr,4,-78.2849853515625,-147.63793945312665,0.06367696390639584,15.0,-32.745361328125,68.29833984375,0.0029999999999998916,2.01416015625,20.0,1.639344262295082,9.955902099609375
15,SA111.2,6,P5-P8,S1BF,Pyramidal,Pyr,4,-57.67562561035156,1134.989013671876,0.0679788460511534,12.058823529411766,-30.731201171875,50.933837890625,0.0033999999999998476,1.40380859375,26.0,1.4470108695652173,0.552978515625
16,SA111.3,6,P5-P8,S1BF,Pyramidal,Pyr,4,-56.8380697254217,874.4018308223082,0.04461409174509712,13.222222222222209,-29.205322265625,57.159423828125,0.003650000000000153,-0.6103515625,14.0,1.2926136363636365,7.899200439453125
17,SA111.4,6,P5-P8,S1BF,Pyramidal,Pyr,4,-62.16998847190562,809.5124400483763,0.04429299757941901,9.490909090909089,-30.853271484375,54.8095703125,0.0029000000000001247,5.218505859375,24.0,1.2270916334661355,6.817535400390625
18,SA120.1,7,P5-P8,S1BF,SSTCre,SST,4,-51.34711794562817,1057.1583614157596,0.057853462511812725,10.0,-41.717529296875,72.235107421875,0.0025999999999999357,9.429931640625,56.0,1.1616809116809117,4.2607421875
19,SA120.2,7,P5-P8,S1BF,SSTCre,SST,4,-59.65542678094816,521.0149740046521,0.07902167687362234,35.0,-41.107177734375,57.159423828125,0.0023500000000000743,14.6484375,32.0,1.1628440366972477,0.40313720703125
