,MouseID,MouseAge,MouseDevelopment,BrainArea,CellID,CellTarget,CellType,CellLayer,Rin,RMP,Tau,Rheobase,MaxFiringFrequency,AdaptationIndex,VoltageSag,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP
63,OLL13,9,P9-P13,V1,OLL13.6,LHX6,PV,4.0,761.7431452968867,-72.26513240265899,0.16020242153858277,32.172888015717064,42.0,1.2025089605734767,0.885009765625,-36.529541015625,54.50439453125,0.0019000000000000128,24.993896484375
64,OLL14,17,P14-P18,V1,OLL14.1,Pyramidal,Pyr,5.0,352.4107567179554,-53.97040159735651,0.18019040427776314,40.0,22.0,1.3704212454212454,5.523681640625,-35.125732421875,82.1533203125,0.0021999999999999797,16.021728515625
65,OLL14,17,P14-P18,V1,OLL14.2,Pyramidal,Pyr,4.0,246.3670587507478,-70.50281869477088,0.15241730689328178,19.984313725490168,20.0,1.174645390070922,0.67138671875,-32.135009765625,77.239990234375,0.0019499999999998963,13.397216796875
66,OLL14,17,P14-P18,V1,OLL14.3,LHX6,PV,4.0,196.38421000751194,-61.41911309196034,,58.77777777777769,80.0,0.7694323144104803,2.532958984375,-43.304443359375,60.546875,0.0010499999999999954,23.284912109375
67,OLL14,17,P14-P18,V1,OLL14.4,Pyramidal,Pyr,4.0,688.0538555413782,-71.20288985658924,0.14215974110163246,5.0,32.0,1.2606149341142021,2.74658203125,-52.06298828125,88.07373046875,0.0019000000000000128,17.76123046875
68,OLL15,13,P9-P13,V1,OLL15.1,Pyramidal,Pyr,23.0,706.7705507953322,-65.62496873554885,0.13902284077199575,15.0,12.0,1.1362623368354028,1.220703125,-40.863037109375,79.1015625,0.0022999999999999687,17.333984375
69,OLL15,13,P9-P13,V1,OLL15.2,Pyramidal,Pyr,4.0,686.552644998113,-62.517831089021044,0.09801071828376322,13.593103448275873,26.0,1.3981514397440455,2.3193359375,-35.70556640625,48.88916015625,0.003850000000000131,15.7470703125
70,OLL15,13,P9-P13,V1,OLL15.3,Pyramidal,Pyr,5.0,130.5517046916342,-59.03856007711428,,71.0,18.0,2.6744186046511627,5.218505859375,-31.707763671875,84.075927734375,0.0022999999999999687,19.83642578125
71,OLL15,13,P9-P13,V1,OLL15.4,Pyramidal,Pyr,5.0,259.16439809417847,-63.26375230652,0.04853798031679584,21.0,20.0,1.4075608493008804,8.056640625,-43.64013671875,79.803466796875,0.0022999999999999687,14.09912109375
72,OLL15,13,P9-P13,V1,OLL15.5,Pyramidal,Pyr,6.0,378.39655139264215,-61.657070310660096,0.11868504316993303,71.0,10.0,1.572897761645493,3.23486328125,-42.96875,75.897216796875,0.0015000000000000568,10.528564453125
73,OLL15,13,P9-P13,V1,OLL15.6,Pyramidal,Pyr,6.0,409.6713426427888,-72.62762036613772,0.07469016917260424,10.999999999999927,22.0,1.2821869488536155,6.77490234375,-25.604248046875,52.8564453125,0.0019499999999998963,19.53125
74,OLL15,13,P9-P13,V1,OLL15.7,Pyramidal,Pyr,23.0,338.43016070640977,-68.77205772141923,0.131879817486296,16.870129870129855,12.0,1.4873170731707317,2.62451171875,-37.628173828125,74.03564453125,0.0020999999999999908,16.876220703125
75,OLL15,13,P9-P13,V1,OLL15.8,Pyramidal,Pyr,4.0,460.59464404386597,-69.1693801739736,0.13745663233399216,20.0,14.0,1.2981082844096543,0.42724609375,-35.70556640625,70.220947265625,0.0022500000000000853,20.599365234375
76,OLL16,18,P14-P18,V1,OLL16.1,LHX6,PV,4.0,165.41866363195118,-71.63696038392331,,213.6501457725948,98.0,0.2922975641869651,1.220703125,-42.05322265625,62.255859375,0.0006999999999999229,25.93994140625
77,OLL16,18,P14-P18,V2,OLL16.2,LHX6,PV,4.0,197.51858619492808,-74.79806574250306,0.1376040092557057,55.736842105263094,48.0,0.8778735632183908,2.655029296875,-37.109375,54.3212890625,0.0012500000000001954,19.95849609375
78,OLL16,18,P14-P18,V1,OLL16.3,Pyramidal,Pyr,4.0,282.27861386541264,-82.58869529955186,0.17106068237530617,11.238095238095207,38.0,1.172591743119266,0.18310546875,-38.177490234375,75.5615234375,0.0017000000000000348,22.216796875
79,OLL16,18,P14-P18,V1,OLL16.4,LHX6,PV,4.0,561.5604285037874,-62.33113606770834,0.17388932291413883,10.0,58.0,1.2823033707865168,3.0517578125,-48.187255859375,79.193115234375,0.0007500000000000284,23.3154296875
80,OLL18,7,P5-P8,V1,OLL18.1,Pyramidal,Pyr,4.0,1086.980646306817,-70.87402343750003,0.14050717917593036,15.0,6.0,1.0487648290469869,0.1220703125,-30.09033203125,36.31591796875,0.006199999999999983,20.81298828125
81,OLL18,7,P5-P8,V1,OLL18.2,Pyramidal,SST,4.0,1077.270507812497,-63.516235351562514,0.13148971362291428,5.0,28.0,1.0376141859215475,0.1220703125,-43.76220703125,65.36865234375,0.002850000000000019,19.805908203125
82,OLL18,7,P5-P8,V1,OLL18.3,Pyramidal,Pyr,4.0,1225.2807617187486,-56.48956298828126,0.1280739731678193,30.0,4.0,,0.1220703125,-30.975341796875,47.79052734375,0.0042999999999999705,19.500732421875
83,OLL18,7,P5-P8,V1,OLL18.4,Pyramidal,Pyr,4.0,924.682617187498,-72.06115722656251,0.1494814585660653,15.0,4.0,,0.518798828125,-33.50830078125,55.48095703125,0.0035000000000000586,21.331787109375
84,OLL18,7,P5-P8,V1,OLL18.5,Pyramidal,Pyr,23.0,1881.1035156249982,-65.66162109374999,0.0951547166743503,6.0,8.0,1.4674922600619196,0.42724609375,-38.39111328125,54.901123046875,0.0039000000000000146,11.5966796875
85,OLL19,6,P5-P8,V1,OLL19.1,Pyramidal,Pyr,4.0,1499.0234374999984,-59.948730468750014,0.09620671774072705,25.0,4.0,,0.213623046875,-29.205322265625,41.50390625,0.004450000000000065,15.228271484375
86,OLL19,6,P5-P8,V1,OLL19.10,Pyramidal,Pyr,5.0,1024.8819986979177,-63.209533691406236,0.1130985555730335,27.0,4.0,,0.396728515625,-28.167724609375,42.633056640625,0.005700000000000038,12.725830078125
87,OLL19,6,P5-P8,V1,OLL19.2,Pyramidal,SPN,6.0,1367.187499999999,-52.06298828125001,0.13203304548027586,10.0,16.0,0.6920029710324338,0.18310546875,-36.56005859375,59.783935546875,0.0044999999999999485,20.050048828125
88,OLL19,6,P5-P8,V1,OLL19.3,Pyramidal,Pyr,4.0,812.6429090053581,-55.91870180655603,0.14806013170220092,46.0,2.0,,0.67138671875,-32.8369140625,37.384033203125,0.004850000000000021,13.671875
89,OLL19,6,P5-P8,V1,OLL19.4,Pyramidal,SPN,6.0,1294.5556640624975,-53.906250000000014,0.05282872236768162,10.0,14.0,1.1020220588235294,0.91552734375,-32.89794921875,58.563232421875,0.003549999999999942,27.64892578125
90,OLL19,6,P5-P8,V1,OLL19.5,Pyramidal,Pyr,4.0,1727.3084451740203,-56.98465772710487,0.13848212503000154,10.0,2.0,,0.48828125,-36.7431640625,41.015625,0.006199999999999983,10.92529296875
91,OLL19,6,P5-P8,V1,OLL19.6,Pyramidal,Pyr,5.0,1054.6874999999975,-59.12475585937501,0.13588453200048947,15.0,14.0,1.3894389438943895,3.96728515625,-33.782958984375,66.314697265625,0.0041999999999999815,23.3154296875
92,OLL19,6,P5-P8,V1,OLL19.7,Pyramidal,Pyr,23.0,1944.1052563887847,-63.29378417220998,0.14297703186424232,5.0,10.0,1.5067650676506765,0.18310546875,-29.23583984375,44.25048828125,0.004449999999999843,17.15087890625
93,OLL19,6,P5-P8,V1,OLL19.8,Pyramidal,Pyr,23.0,2483.367919921876,-45.62868390764509,0.0972206061157304,3.0,8.0,1.4070186634899025,1.03759765625,-29.144287109375,42.083740234375,0.005449999999999955,13.824462890625
94,OLL19,6,P5-P8,V1,OLL19.9,Pyramidal,Pyr,5.0,1219.6132114955365,-62.89127894810268,0.11425332794097134,6.0,4.0,,1.739501953125,-30.82275390625,54.0771484375,0.006199999999999983,30.029296875
95,OLL20,9,P9-P13,V1,OLL20.1,LHX6,PV,4.0,945.3687404149891,-76.0196391707963,0.13369971135055694,7.367647058823532,28.0,1.153664302600473,3.387451171875,-36.68212890625,52.459716796875,0.0025999999999999357,25.787353515625
96,OLL20,9,P9-P13,V1,OLL20.2,Pyramidal,Pyr,4.0,1076.0683001893944,-58.738199869791664,0.1059236731746453,22.66666666666666,4.0,,0.213623046875,-34.66796875,51.8798828125,0.0032000000000000917,16.754150390625
97,OLL20,9,P9-P13,V1,OLL20.3,LHX6,PV,4.0,920.9650213068186,-60.60791015625,0.15683339107700922,13.655948553054639,32.0,1.207744874715262,7.9345703125,-35.888671875,55.084228515625,0.0022999999999999687,21.6064453125
98,OLL20,9,P9-P13,V1,OLL20.4,Pyramidal,Pyr,4.0,1031.882849415753,-56.2236688016524,0.12628408795018695,15.0,4.0,,4.69970703125,-34.942626953125,50.10986328125,0.003249999999999975,13.702392578125
99,OLL20,9,P9-P13,V1,OLL20.5,Pyramidal,Pyr,23.0,1020.9517045454542,-47.0123291015625,0.07229566177057697,10.0,4.0,,0.18310546875,-25.20751953125,41.07666015625,0.003750000000000142,21.209716796875
100,OLL21,11,P9-P13,V1,OLL21.1,Pyramidal,Pyr,23.0,903.9121685606059,-59.88972981770835,0.08728841855005201,15.0,20.0,1.2811944543192322,0.701904296875,-41.290283203125,62.92724609375,0.002349999999999852,16.754150390625
101,OLL21,11,P9-P13,V1,OLL21.2,Pyramidal,Pyr,4.0,991.1864164558389,-60.82258845540343,0.1414194084586005,10.0,16.0,1.1613272311212814,0.18310546875,-33.721923828125,56.640625,0.003049999999999997,24.017333984375
102,OLL21,11,P9-P13,V1,OLL21.3,Pyramidal,Pyr,5.0,351.42128876224933,-58.747428641880035,0.14154356493912323,10.0,18.0,1.3244729605866177,3.96728515625,-42.17529296875,70.892333984375,0.0034999999999998366,19.4091796875
103,OLL21,11,P9-P13,V1,OLL21.4,Pyramidal,Pyr,6.0,373.7289112041214,-67.1435626628855,0.049294058297947085,131.0,10.0,1.881500987491771,5.767822265625,-35.58349609375,61.248779296875,0.0015500000000001624,10.31494140625
104,OLL22,11,P9-P13,V1,OLL22.1,LHX6,PV,4.0,362.9738692592232,-63.89170477337143,0.10632190430652776,11.719827586206915,42.0,1.2009782125389061,0.91552734375,-37.628173828125,55.267333984375,0.0019000000000000128,23.895263671875
105,OLL22,11,P9-P13,V1,OLL22.2,Pyramidal,Pyr,4.0,931.8666152800076,-58.10175637948533,0.10065292465269732,13.999999999999979,14.0,1.2528047868362004,0.335693359375,-36.43798828125,60.97412109375,0.0022499999999998632,21.30126953125
106,OLL22,11,P9-P13,V1,OLL22.3,Pyramidal,Pyr,5.0,354.30908203124955,-61.273193359375,0.1395752545092643,10.0,26.0,1.3231766612641815,2.899169921875,-39.6728515625,82.45849609375,0.0022499999999998632,27.984619140625
107,OLL23,8,P5-P8,V1,OLL23.1,LHX6,PV,4.0,2382.202148437498,-58.57238769531251,0.12513304085292218,8.750000000000005,38.0,1.195729537366548,0.152587890625,-38.909912109375,51.727294921875,0.0023500000000000743,20.6298828125
108,OLL23,8,P5-P8,V1,OLL23.2,Pyramidal,Pyr,4.0,1974.4873046874984,-54.76074218750002,0.1381996909547759,15.0,8.0,1.3371024734982333,0.244140625,-37.7197265625,57.769775390625,0.003049999999999997,15.960693359375
109,OLL23,8,P5-P8,V1,OLL23.3,LHX6,PV,4.0,1889.0380859375002,-67.1844482421875,0.11765543624042454,5.0,30.0,1.2013311148086523,0.8544921875,-35.64453125,43.64013671875,0.0025500000000000522,20.477294921875
110,OLL23,8,P5-P8,V1,OLL23.4,Pyramidal,Pyr,4.0,1797.485351562498,-58.38928222656252,0.18760890858737173,15.0,10.0,1.8499660556687034,1.129150390625,-33.99658203125,43.609619140625,0.0035000000000000586,20.172119140625
111,OLL24,8,P5-P8,V1,OLL24.1,LHX6,PV,4.0,739.1357421874985,-64.11437988281251,0.15997901707089512,10.0,36.0,0.8807692307692307,0.91552734375,-45.34912109375,59.478759765625,0.0024999999999999467,18.280029296875
112,OLL24,8,P5-P8,V1,OLL24.2,Pyramidal,Pyr,4.0,509.6435546874987,-60.368855794270836,0.08066214661630743,36.0,4.0,,1.922607421875,-34.881591796875,51.7578125,0.0033999999999998476,17.303466796875
113,OLL24,8,P5-P8,V1,OLL24.3,Pyramidal,Pyr,4.0,2055.6640624999995,-54.174804687500014,0.13076760141816518,5.0,12.0,1.2769869513641756,0.335693359375,-34.698486328125,49.072265625,0.00374999999999992,16.41845703125
114,OLL24,8,P5-P8,V1,OLL24.4,LHX6,PV,4.0,1787.1093749999975,-69.43359375000001,0.15912716849392072,11.0,40.0,1.203883495145631,0.1220703125,-38.02490234375,47.515869140625,0.0024999999999999467,21.484375
115,OLL25,18,P14-P18,V1,OLL25.1,Pyramidal,Pyr,23.0,554.3101917613639,-68.82934570312499,0.06494017948750529,25.0,18.0,1.2308153477218224,0.54931640625,-42.236328125,71.990966796875,0.0024999999999999467,17.791748046875
116,OLL25,18,P14-P18,V1,OLL25.2,Pyramidal,Pyr,4.0,402.75486242557287,-80.98267642444318,0.14226633360873397,9.38834951456312,30.0,1.4399117971334068,2.716064453125,-34.637451171875,74.3408203125,0.0020000000000000018,17.608642578125
117,OLL25,18,P14-P18,V1,OLL25.3,Pyramidal,Pyr,5.0,145.53813027861685,-60.43999519975212,,20.0,26.0,1.6121024049650892,6.34765625,-45.5322265625,88.470458984375,0.0015499999999999403,12.542724609375
118,OLL26,18,P14-P18,V1,OLL26.1,Pyramidal,Pyr,6.0,159.68803551119024,-77.40110368246697,0.060076216034199985,187.9159802306426,14.0,1.8699719363891487,0.79345703125,-38.51318359375,52.3681640625,0.0018000000000000238,10.406494140625
