,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag,IntrinsicProfile,
52,MJ7.2,5,P5-P8,V1,Pyramidal,Pyr,4,-49.74709473,1639.846302,0.081713217,40,-23.25439453,43.54858398,0.00425,5.889892578,6,0.00415358,0.734313965,RS,
53,MJ9.1,6,P5-P8,V1,Pyramidal,Pyr,4,-53.83680623,1383.62608,0.126660364,11.8013245,-23.92578125,50.10986328,0.0046,-0.183105469,12,0.004065041,0.901550293,RS,
54,OLL1.2,12,P9-P13,V1,Pyramidal,Pyr,4,-65.75460409,947.3304702,0.143887847,26.00943396,-32.44018555,59.75341797,0.00325,9.796142578,20,1.194497154,0.244506836,RS,
55,OLL12.1,17,P14-P18,V1,Pyramidal,Pyr,4,-64.11358022,521.4433945,0.106321211,21,-37.68920898,45.59326172,0.00345,6.561279297,36,1.362224039,6.206237793,RS,
56,OLL12.3,17,P14-P18,V1,LHX6,PV,4,-63.74276839,134.5003231,0.015862403,181.7518295,-40.89355469,70.37353516,0.00075,17.79174805,114,1.131455399,2.849212646,FS,
57,OLL12.4,17,P14-P18,V1,LHX6,SST,4,-65.31391174,256.5994209,0.107796141,26,-40.64941406,71.2890625,0.00105,11.53564453,40,1.408991228,8.379638672,NFS_ADP_Ih,
58,OLL12.5,17,P14-P18,V1,LHX6,PV,4,-71.83530402,187.1945497,0.028493395,78.10439921,-40.25268555,63.17138672,0.001,14.58740234,66,1.096192385,4.039550781,FS_Delayed,
59,OLL13.1,9,P9-P13,S1BF,Pyramidal,Pyr,4,-60.57344564,1101.785482,0.032850748,10,-36.16333008,67.35229492,0.00295,9.460449219,12,1.879885605,10.0062561,RS_Ih,
60,OLL13.2,9,P9-P13,S1BF,LHX6,PV,5,-60.85203905,234.7800527,0.039412395,15.28571429,-41.83959961,63.23242188,0.00205,17.76123047,42,1.167305236,2.292388916,FS,
61,OLL13.3,9,P9-P13,V1,LHX6,PV,4,-56.89155654,263.9187194,7.9106455,72.71524752,-39.79492188,55.63354492,0.00215,19.74487305,22,1.188679245,0.896728516,FS,
62,OLL13.4,9,P9-P13,V1,LHX6,PV,4,-61.90184036,2010.809838,0.108970525,24.16666667,-38.48266602,63.56811523,0.0018,27.83203125,52,1.041018388,2.800445557,FS,
63,OLL13.5,9,P9-P13,V1,LHX6,PV,4,-57.44705505,981.1026001,-2.359107935,24.8879668,-35.15625,56.12182617,0.00225,19.59228516,50,1.200564972,4.494812012,FS,
64,OLL13.6,9,P9-P13,V1,LHX6,PV,4,-71.82698596,778.6472388,0.156709717,32.17288802,-36.52954102,54.50439453,0.0019,24.71923828,48,1.202508961,7.848388672,FS_Ih,
65,OLL14.1,17,P14-P18,V1,Pyramidal,Pyr,5,-54.12219734,345.9720199,-0.28035802,40,-35.12573242,82.15332031,0.0022,9.338378906,22,1.370421245,6.769836426,RS,
66,OLL14.2,17,P14-P18,V1,Pyramidal,Pyr,4,-70.0027515,255.7465853,0.122236911,19.98431373,-32.13500977,77.23999023,0.00195,11.53564453,24,1.17464539,0.662719727,RS_ADP,
